Cluster	Form
aa	A
ab	B
ad	B
ag	B
am	B
ap	B
at	B
ax	B
bj	A
bb	B
cc	A
dd	B
ee	A
ff	A
gg	B
hh	A
ii	A
jj	A
kk	A
ll	A
mm	B
mj	B
nn	A
oo	A
pp	B
qq	A
rr	A
ss	A
tt	B
uu	A
vv	A
ww	A
xj	A
xx	B
yy	A
zz	A
