Cluster	Form
aaaa	F
bbbb	G
cccc	F
dddd	G
eeee	F
ffff	F
gggg	G
hhhh	F
iiii	F
jjjj	F
kkkk	F
llll	F
mmmm	G
nnnn	F
oooo	F
pppp	G
qqqq	F
rrrr	F
ssss	F
tttt	G
uuuu	F
vvvv	F
wwww	F
xxxx	G
yyyy	F
zzzz	F
aaab	G
aaad	G
aaag	G
bbbj	F
sssm	G
jjjp	G
ppps	F
vvvt	G
wwwx	G
xxxy	F
vvxx	F
